;Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating;name;age
0;750-67-8428;A;Yangon;Member;Feminino;Saúde e beleza;74,69;7;261,415;5,489,715;1/5/2019;13:08;Pix;522,83;4,761,904,762;261,415;9,1;Ana Cecília Lopes;63
1;226-31-3081;C;Naypyitaw;Normal;Feminino;Acessórios eletrônicos;15,28;5;3,82;80,22;3/8/2019;10:29;Dinheiro;76,4;4,761,904,762;3,82;9,6;Marcos Vinicius Silva;28
2;631-41-3108;A;Yangon;Normal;Masculino;Casa e estilo de vida;46,33;7;162,155;3,405,255;3/3/2019;13:23;Cartão de Crédito;324,31;4,761,904,762;162,155;7,4;Evelyn Gomes;61
3;123-19-1176;A;Yangon;Member;Masculino;Saúde e beleza;58,22;8;23,288;489,048;1/27/2019;20:33;pix;465,76;4,761,904,762;23,288;8,4;Maysa Moura;28
4;373-73-7910;A;Yangon;Normal;Masculino;Sports and travel;86,31;7;302,085;6,343,785;2/8/2019;10:37;pix;604,17;4,761,904,762;302,085;5,3;Beatriz Lopes;35
5;699-14-3026;C;Naypyitaw;Normal;Masculino;Acessórios eletrônicos;85,39;7;298,865;6,276,165;3/25/2019;18:30;pix;597,73;4,761,904,762;298,865;4,1;Nina Alves;35
6;355-53-5943;A;Yangon;Member;Feminino;Acessórios eletrônicos;68,84;6;20,652;433,692;2/25/2019;14:36;pix;413,04;4,761,904,762;20,652;5,8;Vinícius da Costa;29
7;315-22-5665;C;Naypyitaw;Normal;Feminino;Casa e estilo de vida;73,56;10;36,78;772,38;2/24/2019;11:38;pix;735,6;4,761,904,762;36,78;8,0;Srta. Maysa Leão;58
8;665-32-9167;A;Yangon;Member;Feminino;Saúde e beleza;36,26;2;3,626;76,146;1/10/2019;17:15;Cartão de Crédito;72,52;4,761,904,762;3,626;7,2;Gabrielly Garcia;61
9;692-92-5582;B;Mandalay;Member;Feminino;Food and beverages;54,84;3;8,226;172,746;2/20/2019;13:27;Cartão de Crédito;164,52;4,761,904,762;8,226;5,9;João Miguel da Cunha;39
10;351-62-0822;B;Mandalay;Member;Feminino;Fashion accessories;14,48;4;2,896;60,816;2/6/2019;18:07;pix;57,92;4,761,904,762;2,896;4,5;Luigi Fogaça;61
11;529-56-3974;B;Mandalay;Member;Masculino;Acessórios eletrônicos;25,51;4;5,102;107,142;3/9/2019;17:03;Dinheiro;102,04;4,761,904,762;5,102;6,8;Dr. Mateus Sampaio;60
12;365-64-0515;A;Yangon;Normal;Feminino;Acessórios eletrônicos;46,95;5;117,375;2,464,875;2/12/2019;10:25;pix;234,75;4,761,904,762;117,375;7,1;Maria Alice Sales;58
13;252-56-2699;A;Yangon;Normal;Masculino;Food and beverages;43,19;10;21,595;453,495;2/7/2019;16:48;pix;431,9;4,761,904,762;21,595;8,2;Sra. Ana Vitória Lopes;46
14;829-34-3910;A;Yangon;Normal;Feminino;Saúde e beleza;71,38;10;35,69;749,49;3/29/2019;19:21;Dinheiro;713,8;4,761,904,762;35,69;5,7;Brayan Borges;40
15;299-46-1805;B;Mandalay;Member;Feminino;Sports and travel;93,72;6;28,116;590,436;1/15/2019;16:19;Dinheiro;562,32;4,761,904,762;28,116;4,5;Isabella Pereira;59
16;656-95-9349;A;Yangon;Member;Feminino;Saúde e beleza;68,93;7;241,255;5,066,355;3/11/2019;11:03;Cartão de Crédito;482,51;4,761,904,762;241,255;4,6;Cecilia Machado;64
17;765-26-6951;A;Yangon;Normal;Masculino;Sports and travel;72,61;6;21,783;457,443;1/1/2019;10:39;Cartão de Crédito;435,66;4,761,904,762;21,783;6,9;Bianca da Luz;49
18;329-62-1586;A;Yangon;Normal;Masculino;Food and beverages;54,67;3;82,005;1,722,105;1/21/2019;18:00;Cartão de Crédito;164,01;4,761,904,762;82,005;8,6;Vitor Hugo Vasconcelos;48
19;319-50-3348;B;Mandalay;Normal;Feminino;Casa e estilo de vida;40,3;2;4,03;84,63;3/11/2019;15:30;pix;80,6;4,761,904,762;4,03;4,4;Emanuel Dias;59
20;300-71-4605;C;Naypyitaw;Member;Masculino;Acessórios eletrônicos;86,04;5;21,51;451,71;2/25/2019;11:24;pix;430,2;4,761,904,762;21,51;4,8;João Felipe Fonseca;55
21;371-85-5789;B;Mandalay;Normal;Masculino;Saúde e beleza;87,98;3;13,197;277,137;3/5/2019;10:40;pix;263,94;4,761,904,762;13,197;5,1;Manuela Sá;22
22;273-16-6619;B;Mandalay;Normal;Masculino;Casa e estilo de vida;33,2;2;3,32;69,72;3/15/2019;12:20;Cartão de Crédito;66,4;4,761,904,762;3,32;4,4;Sra. Kamilly da Mata;26
23;636-48-8204;A;Yangon;Normal;Masculino;Acessórios eletrônicos;34,56;5;8,64;181,44;2/17/2019;11:15;pix;172,8;4,761,904,762;8,64;9,9;Olívia Jesus;19
24;549-59-1358;A;Yangon;Member;Masculino;Sports and travel;88,63;3;132,945;2,791,845;3/2/2019;17:36;pix;265,89;4,761,904,762;132,945;6,0;Nina Araújo;39
25;227-03-5010;A;Yangon;Member;Feminino;Casa e estilo de vida;52,59;8;21,036;441,756;3/22/2019;19:20;Cartão de Crédito;420,72;4,761,904,762;21,036;8,5;Theodoro Dias;28
26;649-29-6775;B;Mandalay;Normal;Masculino;Fashion accessories;33,52;1;1,676;35,196;2/8/2019;15:31;Dinheiro;33,52;4,761,904,762;1,676;6,7;Bruna Monteiro;24
27;189-17-4241;A;Yangon;Normal;Feminino;Fashion accessories;87,67;2;8,767;184,107;3/10/2019;12:17;Cartão de Crédito;175,34;4,761,904,762;8,767;7,7;Jade Melo;54
28;145-94-9061;B;Mandalay;Normal;Feminino;Food and beverages;88,36;5;22,09;463,89;1/25/2019;19:48;Dinheiro;441,8;4,761,904,762;22,09;9,6;Vitor Hugo Castro;29
29;848-62-7243;A;Yangon;Normal;Masculino;Saúde e beleza;24,89;9;112,005;2,352,105;3/15/2019;15:36;Dinheiro;224,01;4,761,904,762;112,005;7,4;Gael Pinto;28
30;871-79-8483;B;Mandalay;Normal;Masculino;Fashion accessories;94,13;5;235,325;4,941,825;2/25/2019;19:39;Cartão de Crédito;470,65;4,761,904,762;235,325;4,8;Otávio Moraes;37
31;149-71-6266;B;Mandalay;Member;Masculino;Sports and travel;78,07;9;351,315;7,377,615;1/28/2019;12:43;Dinheiro;702,63;4,761,904,762;351,315;4,5;Ayla Peixoto;20
32;640-49-2076;B;Mandalay;Normal;Masculino;Sports and travel;83,78;8;33,512;703,752;1/10/2019;14:49;Dinheiro;670,24;4,761,904,762;33,512;5,1;Juan Ramos;49
33;595-11-5460;A;Yangon;Normal;Masculino;Saúde e beleza;96,58;2;9,658;202,818;3/15/2019;10:12;Cartão de Crédito;193,16;4,761,904,762;9,658;5,1;Ana Carolina Gonçalves;50
34;183-56-6882;C;Naypyitaw;Member;Feminino;Food and beverages;99,42;4;19,884;417,564;2/6/2019;10:42;pix;397,68;4,761,904,762;19,884;7,5;Lara Souza;61
35;232-16-2483;C;Naypyitaw;Member;Feminino;Sports and travel;68,12;1;3,406;71,526;1/7/2019;12:28;pix;68,12;4,761,904,762;3,406;6,8;Yago Castro;50
36;129-29-8530;A;Yangon;Member;Masculino;Sports and travel;62,62;5;15,655;328,755;3/10/2019;19:15;pix;313,1;4,761,904,762;15,655;7,0;Danilo Cardoso;64
37;272-65-1806;A;Yangon;Normal;Feminino;Acessórios eletrônicos;60,88;9;27,396;575,316;1/15/2019;17:17;pix;547,92;4,761,904,762;27,396;4,7;Maria Helena Porto;62
38;333-73-7901;C;Naypyitaw;Normal;Feminino;Saúde e beleza;54,92;8;21,968;461,328;3/23/2019;13:24;pix;439,36;4,761,904,762;21,968;7,6;Zoe Nunes;68
39;777-82-7220;B;Mandalay;Member;Masculino;Casa e estilo de vida;30,12;8;12,048;253,008;3/3/2019;13:01;Dinheiro;240,96;4,761,904,762;12,048;7,7;Manuela Sá;22
40;280-35-5823;B;Mandalay;Member;Feminino;Casa e estilo de vida;86,72;1;4,336;91,056;1/17/2019;18:45;pix;86,72;4,761,904,762;4,336;7,9;Brayan Borges;40
41;554-53-8700;C;Naypyitaw;Member;Masculino;Casa e estilo de vida;56,11;2;5,611;117,831;2/2/2019;10:11;Dinheiro;112,22;4,761,904,762;5,611;6,3;Juan Ramos;49
42;354-25-5821;B;Mandalay;Member;Feminino;Sports and travel;69,12;6;20,736;435,456;2/8/2019;13:03;Dinheiro;414,72;4,761,904,762;20,736;5,6;Cecília Castro;21
43;228-96-1411;C;Naypyitaw;Member;Feminino;Food and beverages;98,7;8;39,48;829,08;3/4/2019;20:39;Dinheiro;789,6;4,761,904,762;39,48;7,6;Aurora Casa Grande;51
44;617-15-4209;C;Naypyitaw;Member;Masculino;Saúde e beleza;15,37;2;1,537;32,277;3/16/2019;19:47;Dinheiro;30,74;4,761,904,762;1,537;7,2;Lara Souza;61
45;132-32-9879;B;Mandalay;Member;Feminino;Acessórios eletrônicos;93,96;4;18,792;394,632;3/9/2019;18:00;Dinheiro;375,84;4,761,904,762;18,792;9,5;Rafael Alves;29
46;370-41-7321;B;Mandalay;Member;Masculino;Saúde e beleza;56,69;9;255,105;5,357,205;2/27/2019;17:24;Cartão de Crédito;510,21;4,761,904,762;255,105;8,4;Sr. Marcos Vinicius Silva;28
47;727-46-3608;B;Mandalay;Member;Feminino;Food and beverages;20,01;9;90,045;1,890,945;2/6/2019;15:47;pix;180,09;4,761,904,762;90,045;4,1;Yan da Rosa;18
48;669-54-1719;B;Mandalay;Member;Masculino;Acessórios eletrônicos;18,93;6;5,679;119,259;2/10/2019;12:45;Cartão de Crédito;113,58;4,761,904,762;5,679;8,1;Antony Pinto;18
49;574-22-5561;C;Naypyitaw;Member;Feminino;Fashion accessories;82,63;10;41,315;867,615;3/19/2019;17:08;pix;826,3;4,761,904,762;41,315;7,9;Maria Fernanda Pimenta;46
50;326-78-5178;C;Naypyitaw;Member;Masculino;Food and beverages;91,4;7;31,99;671,79;2/3/2019;10:19;Dinheiro;639,8;4,761,904,762;31,99;9,5;Maria Helena Guerra;41
51;162-48-8011;A;Yangon;Member;Feminino;Food and beverages;44,59;5;111,475;2,340,975;2/10/2019;15:10;Dinheiro;222,95;4,761,904,762;111,475;8,5;Maria da Mota;24
52;616-24-2851;B;Mandalay;Member;Feminino;Fashion accessories;17,87;4;3,574;75,054;3/22/2019;14:42;pix;71,48;4,761,904,762;3,574;6,5;Heloisa Almeida;68
53;778-71-5554;C;Naypyitaw;Member;Masculino;Fashion accessories;15,43;1;0,7715;162,015;1/25/2019;15:46;Cartão de Crédito;15,43;4,761,904,762;0,7715;6,1;Sra. Sabrina Dias;50
54;242-55-6721;B;Mandalay;Normal;Masculino;Casa e estilo de vida;16,16;2;1,616;33,936;3/7/2019;11:49;pix;32,32;4,761,904,762;1,616;6,5;Rafael Vieira;44
55;399-46-5918;C;Naypyitaw;Normal;Feminino;Acessórios eletrônicos;85,98;8;34,392;722,232;2/28/2019;19:01;Dinheiro;687,84;4,761,904,762;34,392;8,2;Brayan Barros;39
56;106-35-6779;A;Yangon;Member;Masculino;Casa e estilo de vida;44,34;2;4,434;93,114;3/27/2019;11:26;Dinheiro;88,68;4,761,904,762;4,434;5,8;Rebeca Nogueira;24
57;635-40-6220;A;Yangon;Normal;Masculino;Saúde e beleza;89,6;8;35,84;752,64;2/7/2019;11:28;pix;716,8;4,761,904,762;35,84;6,6;Luiz Miguel da Paz;60
58;817-48-8732;A;Yangon;Member;Feminino;Casa e estilo de vida;72,35;10;36,175;759,675;1/20/2019;15:55;Dinheiro;723,5;4,761,904,762;36,175;5,4;Bruna Novaes;60
59;120-06-4233;C;Naypyitaw;Normal;Masculino;Acessórios eletrônicos;30,61;6;9,183;192,843;3/12/2019;20:36;Dinheiro;183,66;4,761,904,762;9,183;9,3;Maya Abreu;44
60;285-68-5083;C;Naypyitaw;Member;Feminino;Sports and travel;24,74;3;3,711;77,931;2/15/2019;17:47;Cartão de Crédito;74,22;4,761,904,762;3,711;10,0;Maria Luísa Porto;32
61;803-83-5989;C;Naypyitaw;Normal;Masculino;Casa e estilo de vida;55,73;6;16,719;351,099;2/24/2019;10:55;pix;334,38;4,761,904,762;16,719;7,0;Theodoro Dias;28
62;347-34-2234;B;Mandalay;Member;Feminino;Sports and travel;55,07;9;247,815;5,204,115;2/3/2019;13:40;pix;495,63;4,761,904,762;247,815;10,0;Nicolas Vieira;26
63;199-75-8169;A;Yangon;Member;Masculino;Sports and travel;15,81;10;7,905;166,005;3/6/2019;12:27;Cartão de Crédito;158,1;4,761,904,762;7,905;8,6;Otto Sampaio;65
64;853-23-2453;B;Mandalay;Member;Masculino;Saúde e beleza;75,74;4;15,148;318,108;2/14/2019;14:35;Dinheiro;302,96;4,761,904,762;15,148;7,6;Vinícius da Luz;30
65;877-22-3308;A;Yangon;Member;Masculino;Saúde e beleza;15,87;10;7,935;166,635;3/13/2019;16:40;Dinheiro;158,7;4,761,904,762;7,935;5,8;João Miguel da Cunha;39
66;838-78-4295;C;Naypyitaw;Normal;Feminino;Saúde e beleza;33,47;2;3,347;70,287;2/10/2019;15:43;pix;66,94;4,761,904,762;3,347;6,7;Théo Fonseca;44
67;109-28-2512;B;Mandalay;Member;Feminino;Fashion accessories;97,61;6;29,283;614,943;1/7/2019;15:01;pix;585,66;4,761,904,762;29,283;9,9;Yago Azevedo;63
68;232-11-3025;A;Yangon;Normal;Masculino;Sports and travel;78,77;10;39,385;827,085;1/24/2019;10:04;Dinheiro;787,7;4,761,904,762;39,385;6,4;Melina Fonseca;35
69;382-03-4532;A;Yangon;Member;Feminino;Saúde e beleza;18,33;1;0,9165;192,465;2/2/2019;18:50;Dinheiro;18,33;4,761,904,762;0,9165;4,3;Paulo Fogaça;54
70;393-65-2792;C;Naypyitaw;Normal;Masculino;Food and beverages;89,48;10;44,74;939,54;1/6/2019;12:46;Cartão de Crédito;894,8;4,761,904,762;44,74;9,6;Gabriela Cavalcanti;29
71;796-12-2025;C;Naypyitaw;Normal;Masculino;Fashion accessories;62,12;10;31,06;652,26;2/11/2019;16:19;Dinheiro;621,2;4,761,904,762;31,06;5,9;Sr. Vinícius da Costa;29
72;510-95-6347;B;Mandalay;Member;Feminino;Food and beverages;48,52;3;7,278;152,838;3/5/2019;18:17;pix;145,56;4,761,904,762;7,278;4,0;Srta. Maria Flor Pereira;30
73;841-35-6630;C;Naypyitaw;Normal;Feminino;Acessórios eletrônicos;75,91;6;22,773;478,233;3/9/2019;18:21;Dinheiro;455,46;4,761,904,762;22,773;8,7;Henry da Cruz;37
74;287-21-9091;A;Yangon;Normal;Masculino;Casa e estilo de vida;74,67;9;336,015;7,056,315;1/22/2019;10:55;pix;672,03;4,761,904,762;336,015;9,4;Aylla Souza;35
75;732-94-0499;C;Naypyitaw;Normal;Feminino;Acessórios eletrônicos;41,65;10;20,825;437,325;1/13/2019;17:04;Cartão de Crédito;416,5;4,761,904,762;20,825;5,4;Isabella Pacheco;62
76;263-10-3913;C;Naypyitaw;Member;Masculino;Fashion accessories;49,04;9;22,068;463,428;1/9/2019;14:20;Cartão de Crédito;441,36;4,761,904,762;22,068;8,6;Nina Sampaio;26
77;381-20-0914;A;Yangon;Member;Feminino;Fashion accessories;20,01;9;90,045;1,890,945;1/12/2019;15:48;Cartão de Crédito;180,09;4,761,904,762;90,045;5,7;Srta. Maysa Leão;58
78;829-49-1914;C;Naypyitaw;Member;Feminino;Food and beverages;78,31;10;39,155;822,255;3/5/2019;16:24;pix;783,1;4,761,904,762;39,155;6,6;Francisco Camargo;31
79;756-01-7507;C;Naypyitaw;Normal;Feminino;Saúde e beleza;20,38;5;5,095;106,995;1/22/2019;18:56;Dinheiro;101,9;4,761,904,762;5,095;6,0;Sra. Ana Vitória Lopes;46
80;870-72-4431;C;Naypyitaw;Normal;Feminino;Saúde e beleza;99,19;6;29,757;624,897;1/21/2019;14:42;Cartão de Crédito;595,14;4,761,904,762;29,757;5,5;Sofia da Cunha;41
81;847-38-7188;B;Mandalay;Normal;Feminino;Food and beverages;96,68;3;14,502;304,542;1/26/2019;19:56;pix;290,04;4,761,904,762;14,502;6,4;Luiz Miguel da Paz;60
82;480-63-2856;C;Naypyitaw;Normal;Masculino;Food and beverages;19,25;8;7,7;161,7;1/23/2019;18:37;pix;154,0;4,761,904,762;7,7;6,6;Maria Helena Guerra;41
83;787-56-0757;C;Naypyitaw;Member;Feminino;Food and beverages;80,36;4;16,072;337,512;2/23/2019;18:45;Cartão de Crédito;321,44;4,761,904,762;16,072;8,3;Gustavo Henrique Sales;37
84;360-39-5055;C;Naypyitaw;Member;Masculino;Sports and travel;48,91;5;122,275;2,567,775;3/9/2019;10:17;Dinheiro;244,55;4,761,904,762;122,275;6,6;Rebeca Nogueira;24
85;730-50-9884;C;Naypyitaw;Normal;Feminino;Sports and travel;83,06;7;29,071;610,491;3/5/2019;14:31;pix;581,42;4,761,904,762;29,071;4,0;Dr. José Miguel Teixeira;24
86;362-58-8315;C;Naypyitaw;Normal;Masculino;Fashion accessories;76,52;5;19,13;401,73;3/25/2019;10:23;Dinheiro;382,6;4,761,904,762;19,13;9,9;Maria Flor Melo;70
87;633-44-8566;A;Yangon;Member;Masculino;Food and beverages;49,38;7;17,283;362,943;3/27/2019;20:35;Cartão de Crédito;345,66;4,761,904,762;17,283;7,3;Sarah Sampaio;41
88;504-35-8843;A;Yangon;Normal;Masculino;Sports and travel;42,47;1;21,235;445,935;1/2/2019;16:57;Dinheiro;42,47;4,761,904,762;21,235;5,7;João Miguel da Cunha;39
89;318-68-5053;B;Mandalay;Normal;Feminino;Saúde e beleza;76,99;6;23,097;485,037;2/27/2019;17:55;Dinheiro;461,94;4,761,904,762;23,097;6,1;Henry Gabriel Melo;33
90;565-80-5980;C;Naypyitaw;Member;Feminino;Casa e estilo de vida;47,38;4;9,476;198,996;1/23/2019;10:25;Dinheiro;189,52;4,761,904,762;9,476;7,1;Liz Novais;37
91;225-32-0908;C;Naypyitaw;Normal;Feminino;Sports and travel;44,86;10;22,43;471,03;1/26/2019;19:54;pix;448,6;4,761,904,762;22,43;8,2;Sr. Felipe Silva;34
92;873-51-0671;A;Yangon;Member;Feminino;Sports and travel;21,98;7;7,693;161,553;1/10/2019;16:42;pix;153,86;4,761,904,762;7,693;5,1;Sr. Dom Pinto;65
93;152-08-9985;B;Mandalay;Member;Masculino;Saúde e beleza;64,36;9;28,962;608,202;3/12/2019;12:09;Cartão de Crédito;579,24;4,761,904,762;28,962;8,6;Maitê Pacheco;63
94;512-91-0811;C;Naypyitaw;Normal;Masculino;Saúde e beleza;89,75;1;44,875;942,375;2/6/2019;20:05;Cartão de Crédito;89,75;4,761,904,762;44,875;6,6;João Felipe Fonseca;55
95;594-34-4444;A;Yangon;Normal;Masculino;Acessórios eletrônicos;97,16;1;4,858;102,018;3/8/2019;20:38;pix;97,16;4,761,904,762;4,858;7,2;Apollo Machado;67
96;766-85-7061;B;Mandalay;Normal;Masculino;Saúde e beleza;87,87;10;43,935;922,635;3/29/2019;10:25;pix;878,7;4,761,904,762;43,935;5,1;Zoe Nunes;68
97;871-39-9221;C;Naypyitaw;Normal;Feminino;Acessórios eletrônicos;12,45;6;3,735;78,435;2/9/2019;13:11;Dinheiro;74,7;4,761,904,762;3,735;4,1;Luna Araújo;58
98;865-92-6136;A;Yangon;Normal;Masculino;Food and beverages;52,75;3;79,125;1,661,625;3/23/2019;10:16;pix;158,25;4,761,904,762;79,125;9,3;Sr. Nicolas Nogueira;67
99;733-01-9107;B;Mandalay;Normal;Masculino;Casa e estilo de vida;82,7;6;24,81;521,01;3/5/2019;18:14;Dinheiro;496,2;4,761,904,762;24,81;7,4;Theodoro Dias;28
100;163-56-7055;C;Naypyitaw;Member;Masculino;Fashion accessories;48,71;1;24,355;511,455;3/26/2019;19:20;Dinheiro;48,71;4,761,904,762;24,355;4,1;Ian Cavalcanti;36
101;189-98-2939;C;Naypyitaw;Normal;Masculino;Fashion accessories;78,55;9;353,475;7,422,975;3/1/2019;13:22;Dinheiro;706,95;4,761,904,762;353,475;7,2;Emanuella Leão;70
102;551-21-3069;C;Naypyitaw;Normal;Feminino;Acessórios eletrônicos;23,07;9;103,815;2,180,115;2/1/2019;11:27;Dinheiro;207,63;4,761,904,762;103,815;4,9;Felipe Silva;34
103;212-62-1842;A;Yangon;Normal;Masculino;Food and beverages;58,26;6;17,478;367,038;3/28/2019;16:44;Dinheiro;349,56;4,761,904,762;17,478;9,9;Eloá Porto;29
104;716-39-1409;B;Mandalay;Normal;Masculino;Saúde e beleza;30,35;7;106,225;2,230,725;3/19/2019;18:19;Dinheiro;212,45;4,761,904,762;106,225;8,0;Agatha Nascimento;19
105;704-48-3927;A;Yangon;Member;Masculino;Acessórios eletrônicos;88,67;10;44,335;931,035;1/12/2019;14:50;pix;886,7;4,761,904,762;44,335;7,3;Nina Alves;35
106;628-34-3388;C;Naypyitaw;Normal;Masculino;Fashion accessories;27,38;6;8,214;172,494;1/5/2019;20:54;Cartão de Crédito;164,28;4,761,904,762;8,214;7,9;Vitor Hugo Vasconcelos;48
107;630-74-5166;A;Yangon;Normal;Masculino;Sports and travel;62,13;6;18,639;391,419;3/22/2019;20:19;Dinheiro;372,78;4,761,904,762;18,639;7,4;Alana Machado;25
108;588-01-7461;C;Naypyitaw;Normal;Feminino;Food and beverages;33,98;9;15,291;321,111;3/24/2019;10:43;Dinheiro;305,82;4,761,904,762;15,291;4,2;Valentina Borges;61
109;861-77-0145;C;Naypyitaw;Member;Masculino;Acessórios eletrônicos;81,97;10;40,985;860,685;3/3/2019;14:30;Dinheiro;819,7;4,761,904,762;40,985;9,2;Aylla Souza;35
110;479-26-8945;B;Mandalay;Member;Feminino;Sports and travel;16,49;2;1,649;34,629;2/5/2019;11:32;pix;32,98;4,761,904,762;1,649;4,6;Francisco Camargo;31
111;210-67-5886;C;Naypyitaw;Member;Feminino;Saúde e beleza;98,21;3;147,315;3,093,615;2/5/2019;10:41;Cartão de Crédito;294,63;4,761,904,762;147,315;7,8;Henry Dias;70
112;227-78-1148;B;Mandalay;Normal;Feminino;Fashion accessories;72,84;7;25,494;535,374;2/15/2019;12:44;Dinheiro;509,88;4,761,904,762;25,494;8,4;Mirella Mendonça;22
113;645-44-1170;A;Yangon;Member;Masculino;Casa e estilo de vida;58,07;9;261,315;5,487,615;1/19/2019;20:07;pix;522,63;4,761,904,762;261,315;4,3;Anthony Gabriel Sá;30
114;237-01-6122;C;Naypyitaw;Member;Feminino;Casa e estilo de vida;80,79;9;363,555;7,634,655;2/1/2019;20:31;Cartão de Crédito;727,11;4,761,904,762;363,555;9,5;Stella Gomes;66
115;225-98-1496;C;Naypyitaw;Normal;Feminino;Fashion accessories;27,02;3;4,053;85,113;3/2/2019;13:01;Cartão de Crédito;81,06;4,761,904,762;4,053;7,1;Luiz Miguel da Paz;60
116;291-32-1427;B;Mandalay;Member;Masculino;Fashion accessories;21,94;5;5,485;115,185;3/5/2019;12:29;pix;109,7;4,761,904,762;5,485;5,3;Otto Sampaio;65
117;659-65-8956;B;Mandalay;Member;Masculino;Fashion accessories;51,36;1;2,568;53,928;1/16/2019;15:26;pix;51,36;4,761,904,762;2,568;5,2;Benício Novais;22
